recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
bb09b488-e875-448b-9801-156d15b3962c,1,1775725052584178338,1775725052999548338,415.37,9.844173,2372.8137,5846.7856
bb09b488-e875-448b-9801-156d15b3962c,2,1775725053259797338,1775725053344922338,85.125,3.4935107,1573.1566,3000.5276
bb09b488-e875-448b-9801-156d15b3962c,3,1775725053435049338,1775725053755308338,320.259,4.3359585,1431.7765,2872.7986
bb09b488-e875-448b-9801-156d15b3962c,4,1775725053935420338,1775725054025545338,90.125,1.9055029,1330.9768,2167.3396
bb09b488-e875-448b-9801-156d15b3962c,5,1775725054155669338,1775725054330794338,175.125,1.7265657,1220.3687,1971.7047
bb09b488-e875-448b-9801-156d15b3962c,6,1775725054536059338,1775725054566043338,29.984,1.1132078,1285.4642,1831.9255
bb09b488-e875-448b-9801-156d15b3962c,7,1775725054676167338,1775725054891291338,215.124,30.229149,5487.9175,12818.448
bb09b488-e875-448b-9801-156d15b3962c,8,1775725055036551338,1775725055201665338,165.114,11.925341,1819.3223,3616.514
bb09b488-e875-448b-9801-156d15b3962c,9,1775725055406790338,1775725055461915338,55.125,4.940426,2323.7544,4439.947
bb09b488-e875-448b-9801-156d15b3962c,10,1775725055722163338,1775725056132550338,410.387,55.733387,4076.2693,10173.643
bb09b488-e875-448b-9801-156d15b3962c,11,1775725056227537338,1775725056257662338,30.125,4.052337,2265.1196,3606.101
bb09b488-e875-448b-9801-156d15b3962c,12,1775725056487786338,1775725056943284338,455.498,45.360104,4425.9478,19244.383
bb09b488-e875-448b-9801-156d15b3962c,13,1775725057063409338,1775725057984161338,920.752,10.194221,2223.9812,8207.504
bb09b488-e875-448b-9801-156d15b3962c,14,1775725058114280338,1775725058219405338,105.125,1.2544166,1377.8508,2209.7307
bb09b488-e875-448b-9801-156d15b3962c,15,1775725058379529338,1775725058404654338,25.125,1.5683002,1093.4021,1496.721
bb09b488-e875-448b-9801-156d15b3962c,16,1775725058554778338,1775725058875027338,320.249,26.644081,3582.4297,9526.997
bb09b488-e875-448b-9801-156d15b3962c,17,1775725059065276338,1775725060061148338,995.872,11.089926,1720.9159,4954.101
bb09b488-e875-448b-9801-156d15b3962c,18,1775725060211276338,1775725060256275338,44.999,2.1783576,1742.4932,2740.9722
bb09b488-e875-448b-9801-156d15b3962c,19,1775725060366397338,1775725060446521338,80.124,2.1297512,1481.5383,2266.234
bb09b488-e875-448b-9801-156d15b3962c,20,1775725060546646338,1775725060806901338,260.255,2.5901062,1702.1384,3214.5671
bb09b488-e875-448b-9801-156d15b3962c,21,1775725060901895338,1775725061012019338,110.124,21.965168,3877.7688,8512.784
bb09b488-e875-448b-9801-156d15b3962c,22,1775725061207269338,1775725061327268338,119.999,10.311632,3056.5125,8710.988
bb09b488-e875-448b-9801-156d15b3962c,23,1775725061417393338,1775725061742654338,325.261,2.266166,1296.8756,2585.6797
bb09b488-e875-448b-9801-156d15b3962c,24,1775725061942891338,1775725062028016338,85.125,13.591287,2644.2346,6883.0386
bb09b488-e875-448b-9801-156d15b3962c,25,1775725062108015338,1775725062353264338,245.249,0.98086756,1897.5931,5074.2197
bb09b488-e875-448b-9801-156d15b3962c,26,1775725062428399338,1775725064570381338,2141.982,11.336852,2044.2084,9885.173
bb09b488-e875-448b-9801-156d15b3962c,27,1775725064675381338,1775725064915630338,240.249,2.4420123,1628.6382,4352.374
bb09b488-e875-448b-9801-156d15b3962c,28,1775725065000755338,1775725065276004338,275.249,14.284101,2829.751,9651.638
bb09b488-e875-448b-9801-156d15b3962c,29,1775725065366128338,1775725065946626338,580.498,3.136858,1519.1948,2679.6262
bb09b488-e875-448b-9801-156d15b3962c,30,1775725066041751338,1775725067267872338,1226.121,2.1846654,2422.317,9951.5625
bb09b488-e875-448b-9801-156d15b3962c,31,1775725067362871338,1775725068108619338,745.748,2.7497897,1627.2361,4541.0845
bb09b488-e875-448b-9801-156d15b3962c,32,1775725068183743338,1775725072827976338,4644.233,16.72552,2197.443,10224.988
bb09b488-e875-448b-9801-156d15b3962c,33,1775725072913101338,1775725073323474338,410.373,25.001053,3635.379,10107.763
bb09b488-e875-448b-9801-156d15b3962c,34,1775725073428599338,1775725073928976338,500.377,3.9628873,1573.0355,3920.9456
bb09b488-e875-448b-9801-156d15b3962c,35,1775725074019097338,1775725074414470338,395.373,0.9938455,1400.5765,3053.5298
bb09b488-e875-448b-9801-156d15b3962c,36,1775725074509595338,1775725075015093338,505.498,0.6653029,1268.6252,2518.4116
bb09b488-e875-448b-9801-156d15b3962c,37,1775725075170217338,1775725076126089338,955.872,1.7998359,1385.0532,2809.4026
bb09b488-e875-448b-9801-156d15b3962c,38,1775725076221227338,1775725076611462338,390.235,21.801212,3657.5447,15254.6875
bb09b488-e875-448b-9801-156d15b3962c,39,1775725076691587338,1775725076876713338,185.126,4.668401,1635.3147,3019.9944
bb09b488-e875-448b-9801-156d15b3962c,40,1775725076971835338,1775725077121975338,150.14,1.4477693,1529.9022,3011.609
bb09b488-e875-448b-9801-156d15b3962c,41,1775725077227084338,1775725077547333338,320.249,4.560138,1469.8922,4040.4756
bb09b488-e875-448b-9801-156d15b3962c,42,1775725077622458338,1775725078202956338,580.498,3.5971165,1504.2852,2829.052
bb09b488-e875-448b-9801-156d15b3962c,43,1775725078363205338,1775725078468205338,105.0,0.8583669,1350.838,2767.1855
bb09b488-e875-448b-9801-156d15b3962c,44,1775725078548329338,1775725079243952338,695.623,28.954308,2230.0386,6516.2153
bb09b488-e875-448b-9801-156d15b3962c,45,1775725079349076338,1775725079454201338,105.125,7.267732,2122.8733,3136.1484
bb09b488-e875-448b-9801-156d15b3962c,46,1775725079564201338,1775725079919574338,355.373,3.4543142,1733.3722,4316.3726
bb09b488-e875-448b-9801-156d15b3962c,47,1775725080014699338,1775725082336815338,2322.116,0.60117596,1458.5951,3265.1484
bb09b488-e875-448b-9801-156d15b3962c,48,1775725082421940338,1775725082762189338,340.249,14.21973,2006.998,8425.023
bb09b488-e875-448b-9801-156d15b3962c,49,1775725082842316338,1775725083092562338,250.246,11.780927,1937.9836,3557.2117
bb09b488-e875-448b-9801-156d15b3962c,50,1775725083227687338,1775725083537945338,310.258,12.197158,2659.109,7636.3955
bb09b488-e875-448b-9801-156d15b3962c,51,1775725083973309338,1775725084513807338,540.498,7.4027524,2295.3467,8082.7188
bb09b488-e875-448b-9801-156d15b3962c,52,1775725084613931338,1775725084658931338,45.0,1.4337726,1079.5316,1769.4929
bb09b488-e875-448b-9801-156d15b3962c,53,1775725084739056338,1775725084974316338,235.26,11.915991,2196.7515,6057.4175
bb09b488-e875-448b-9801-156d15b3962c,54,1775725085059305338,1775725085985176338,925.871,6.5669336,2697.8289,12828.309
bb09b488-e875-448b-9801-156d15b3962c,55,1775725086075301338,1775725086140439338,65.138,1.3505071,1578.3187,2147.2078
