recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
bb09b488-e875-448b-9801-156d15b3962c,1775725052419050338,719.2781,684.4882,-4.988148,-5.3287563,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052424050338,719.15533,680.3556,-4.9947667,-5.063731,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052429050338,742.05634,676.0887,-3.5208871,-4.7936997,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052434050338,737.72186,673.7212,-3.7991424,-4.6411886,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052439050338,717.7795,683.41547,-5.0842013,-5.259662,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052444050338,719.18756,683.9197,-4.99379,-5.292283,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052449050338,718.9528,685.99536,-5.0095544,-5.4253283,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052454050338,716.12994,702.30707,-5.197166,-6.470313,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052459060338,715.98755,703.363,-5.206769,-6.5379453,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052464050338,710.177,696.33234,-5.5780306,-6.085876,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052469050338,712.21136,699.5916,-5.448394,-6.295269,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052474050338,712.2904,701.97754,-5.444296,-6.448183,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052479050338,713.595,705.46356,-5.361753,-6.6719127,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052484056338,714.4237,715.863,-5.313006,-7.3384504,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052489175338,714.5516,710.7122,-5.302412,-7.008491,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052494175338,691.5734,703.18317,-6.778771,-6.5191216,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052499175338,706.51105,732.07996,-5.8320594,-8.374337,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052504175338,707.02374,729.1684,-5.797273,-8.188126,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052509175338,712.2702,716.2559,-5.452041,-7.362971,1.0,,
bb09b488-e875-448b-9801-156d15b3962c,1775725052514175338,711.2581,719.9182,-5.519107,-7.597233,1.0,,
