number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_out_ch,params_out_ch_mult,params_wd,state
0,0.5067934954121378,2026-08-24 11:24:00.417404,2026-08-24 11:41:55.724787,0 days 00:17:55.307383,2,64,0.09728903866764271,128,5.710540195617133e-05,0.2373004263568933,2,32,2,7.784417095108849e-05,COMPLETE
1,0.4939902767118053,2026-08-24 11:41:55.873172,2026-08-24 12:01:05.276344,0 days 00:19:09.403172,4,64,0.05635649406116757,64,6.492437308433513e-05,0.29582324291040835,2,32,2,9.969896315135939e-05,COMPLETE
2,0.4898178412656992,2026-08-24 12:01:05.326033,2026-08-24 12:08:20.020876,0 days 00:07:14.694843,2,256,0.09894050801870838,64,6.485142189974208e-05,0.22405439011494555,1,32,2,9.037195588353975e-05,COMPLETE
3,0.4832784188710238,2026-08-24 12:08:20.072004,2026-08-24 12:15:50.244401,0 days 00:07:30.172397,1,256,0.06860681926519899,128,5.778721970626964e-05,0.3031921196803037,2,128,2,9.893410781613331e-05,COMPLETE
4,0.4934125378332602,2026-08-24 12:15:50.294392,2026-08-24 12:25:21.996004,0 days 00:09:31.701612,1,128,0.06242037283062835,64,5.962308297791625e-05,0.3504169269017932,1,64,2,8.291018622008454e-05,COMPLETE
5,0.4910098410262962,2026-08-24 12:25:22.044524,2026-08-24 12:31:55.767147,0 days 00:06:33.722623,2,256,0.06698649156981618,128,6.0254107280782744e-05,0.31435318579379357,1,128,2,7.856451106690669e-05,COMPLETE
6,0.49405262786326054,2026-08-24 12:31:55.815384,2026-08-24 12:38:00.426279,0 days 00:06:04.610895,1,256,0.059280345383163534,128,6.644788033728085e-05,0.19911550498646352,1,256,2,8.48175738928341e-05,COMPLETE
7,,2026-08-24 12:38:00.474964,2026-08-24 12:46:24.359112,0 days 00:08:23.884148,4,64,0.07176608797823333,32,7.668241775571686e-05,0.34659685380385147,2,32,2,0.00010102402731220575,FAIL
8,0.4981463995257145,2026-08-24 13:52:52.045358,2026-08-24 14:03:47.052880,0 days 00:10:55.007522,4,128,0.08538771177958362,64,5.481232968152969e-05,0.2925519951105791,1,32,2,8.494710609157813e-05,COMPLETE
9,0.5045976436323724,2026-08-24 14:03:47.139457,2026-08-24 14:11:47.687662,0 days 00:08:00.548205,2,256,0.12770272185118084,32,5.8614653063495315e-05,0.12253216736609461,2,128,2,7.764080926625597e-05,COMPLETE
10,0.5025681395718856,2026-08-24 14:11:47.753317,2026-08-24 14:34:21.968883,0 days 00:22:34.215566,4,64,0.06066206637661829,32,5.114212890285363e-05,0.22080151683451982,2,256,2,0.0001054322391435033,COMPLETE
11,0.4963803733284386,2026-08-24 14:34:22.025276,2026-08-24 14:55:07.995438,0 days 00:20:45.970162,2,64,0.12910720362979367,128,7.930211764921415e-05,0.10921185164315476,3,64,2,9.061940242576115e-05,COMPLETE
12,0.4926905657208649,2026-08-24 14:55:08.051579,2026-08-24 15:18:14.499752,0 days 00:23:06.448173,2,64,0.13000370293438887,32,5.1034198415044106e-05,0.10702467081708675,2,128,2,7.892447353034644e-05,COMPLETE
13,0.4836563506346077,2026-08-24 15:18:14.572769,2026-08-24 15:26:04.143796,0 days 00:07:49.571027,2,256,0.11182818872975794,32,7.855525623623688e-05,0.1627397201341965,2,32,2,7.870378082138236e-05,COMPLETE
14,0.4949898405300263,2026-08-24 15:26:04.190326,2026-08-24 15:45:38.295183,0 days 00:19:34.104857,2,64,0.11246811146201602,32,7.175811210495555e-05,0.1501051497511518,3,128,2,8.165758574242369e-05,COMPLETE
