number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_h_size,params_lr,params_ls,params_out_c_mult,params_out_ch,params_wd,state
0,0.3573831427288301,2026-08-10 08:24:36.351550,2026-08-10 08:25:10.444681,0 days 00:00:34.093131,256,0.2856285190647381,64,6.450984768757609e-05,0.6623140070030727,,256,0.0020212429762443535,COMPLETE
1,0.647177256173987,2026-08-10 08:25:10.516443,2026-08-10 08:33:09.125009,0 days 00:07:58.608566,64,0.15172369551554096,1024,1.999155195042587e-05,0.06220286463887026,,32,0.0011399302043645892,COMPLETE
2,0.5217251202417754,2026-08-10 08:33:09.180627,2026-08-10 08:35:53.546486,0 days 00:02:44.365859,128,0.2216034846928805,64,3.178401053075137e-05,0.4008572192337898,,32,0.0008489374203238976,COMPLETE
3,0.5391025104706457,2026-08-10 08:35:53.594914,2026-08-10 08:38:11.824526,0 days 00:02:18.229612,128,0.19712796249281078,32,1.2411426116547748e-05,0.0010701547542436574,,256,0.0007662780129396935,COMPLETE
4,0.5606655248408601,2026-08-10 08:38:11.880660,2026-08-10 08:43:14.226733,0 days 00:05:02.346073,128,0.15085102739842154,256,8.56144390668357e-05,0.511953023264859,,128,0.0005806456222110264,COMPLETE
5,0.43668268956367173,2026-08-10 08:43:14.291798,2026-08-10 08:48:29.193360,0 days 00:05:14.901562,128,0.14693827337799564,512,1.0631175634381356e-05,0.5685807325076151,,64,0.0005107604406510983,COMPLETE
6,0.3834025347946464,2026-08-10 08:48:29.264482,2026-08-10 08:49:34.537342,0 days 00:01:05.272860,256,0.21000850729953552,256,1.708087966829027e-05,0.4299621958463683,,32,0.0007382864034819755,COMPLETE
7,0.6737049666178098,2026-08-10 08:49:34.598706,2026-08-10 09:02:36.990791,0 days 00:13:02.392085,64,0.2747957212663921,512,2.2094337194546454e-05,0.40169728524095094,,128,0.0012492737560623446,COMPLETE
8,0.3186681363238731,2026-08-10 09:02:37.057768,2026-08-10 09:03:15.268104,0 days 00:00:38.210336,256,0.20388211163530856,64,1.1913743840141216e-05,0.12260422679699245,,64,0.001337301420864429,COMPLETE
9,0.2892344506340024,2026-08-10 09:03:15.321349,2026-08-10 09:03:50.754065,0 days 00:00:35.432716,256,0.26997359515476116,128,3.081012099649384e-05,0.6304980763747272,,64,0.001050906705476733,COMPLETE
10,0.6857951135931785,2026-08-10 09:03:50.804807,2026-08-10 09:14:52.682672,0 days 00:11:01.877865,64,0.34451031876086863,512,4.036576506642167e-05,0.9334939402897793,,128,0.0020576487029134536,COMPLETE
11,0.5033655603344327,2026-08-10 09:14:52.737122,2026-08-10 09:25:23.446406,0 days 00:10:30.709284,64,0.3372112228754309,512,3.903480074175954e-05,0.9834336050831808,,128,0.0021071489047578334,COMPLETE
12,0.6387338736379421,2026-08-10 09:25:23.515058,2026-08-10 09:32:58.773310,0 days 00:07:35.258252,64,0.3414944662623008,512,4.913703288700102e-05,0.9681346770738353,,128,0.0015603224703878626,COMPLETE
13,0.3302573706101205,2026-08-10 09:32:58.837362,2026-08-10 09:34:03.472765,0 days 00:01:04.635403,512,0.2944489839624522,512,2.2322932176491336e-05,0.7998415160615551,,512,0.0016661711878902402,COMPLETE
14,0.6618827853857726,2026-08-10 09:34:03.531348,2026-08-10 09:43:35.853311,0 days 00:09:32.321963,64,0.312717659026387,512,2.5804681264210845e-05,0.24951418798053318,,128,0.0016770935600886562,COMPLETE
15,0.7072903921903605,2026-08-10 09:43:35.907395,2026-08-10 09:56:04.145653,0 days 00:12:28.238258,64,0.2527965732518917,1024,4.730354977679897e-05,0.7801256402113619,,128,0.0012591063085566482,COMPLETE
16,0.3478686690868004,2026-08-10 09:56:04.211347,2026-08-10 09:57:20.360048,0 days 00:01:16.148701,512,0.24225955080674857,1024,5.406422149943187e-05,0.8069453722573712,,512,0.001467292084913427,COMPLETE
17,0.7173923137969307,2026-08-10 09:57:20.408982,2026-08-10 10:06:33.645722,0 days 00:09:13.236740,64,0.24560453036835692,1024,9.744245844612059e-05,0.8377009955465672,,128,0.000957668643226383,COMPLETE
18,0.7220706437672729,2026-08-10 10:06:33.708041,2026-08-10 10:16:14.634076,0 days 00:09:40.926035,64,0.11039196124145823,1024,9.602312146546514e-05,0.8104757616143404,,128,0.0009520129357231734,COMPLETE
19,,2026-08-10 10:16:14.705282,2026-08-10 10:16:35.210047,0 days 00:00:20.504765,64,0.105202744638291,1024,9.534048504201218e-05,0.7315200408019116,,128,0.0009200140696483567,FAIL
20,0.7084900763074792,2026-08-10 14:22:48.163728,2026-08-10 14:32:47.247582,0 days 00:09:59.083854,64,0.11392400124444213,1024,9.224110302310188e-05,0.721834970139297,,128,0.0009535774539283191,COMPLETE
21,0.34957720847852597,2026-08-10 14:32:47.314622,2026-08-10 14:34:13.835065,0 days 00:01:26.520443,512,0.18123111892518826,1024,7.73038747234597e-05,0.9261637492428485,,256,0.0006973261675998811,COMPLETE
22,0.709997478950471,2026-08-10 14:34:13.926273,2026-08-10 14:44:09.351675,0 days 00:09:55.425402,64,0.10213579751224239,1024,9.512883201713898e-05,0.736698125906243,,128,0.0009380164411758843,COMPLETE
23,0.7188070649838066,2026-08-10 14:44:09.408222,2026-08-10 14:52:29.078381,0 days 00:08:19.670159,64,0.10105205529758086,1024,9.912018846390484e-05,0.8446635821027662,,128,0.0009189392226311331,COMPLETE
24,0.717794211497511,2026-08-10 14:52:29.142531,2026-08-10 15:03:22.011373,0 days 00:10:52.868842,64,0.12536377333383064,1024,7.04647216149696e-05,0.8677101188213197,,128,0.0008715340312636091,COMPLETE
25,0.7068505788216938,2026-08-10 15:03:22.061269,2026-08-10 15:07:32.379996,0 days 00:04:10.318727,64,0.12720423891465757,128,6.629190592172387e-05,0.83819252597458,,128,0.0008175127396417993,COMPLETE
26,0.7219739995515815,2026-08-10 15:07:32.430418,2026-08-10 15:11:18.667024,0 days 00:03:46.236606,64,0.12839910589761158,32,7.574108441006626e-05,0.8746179938230267,,512,0.0006582791550531809,COMPLETE
27,0.7247272919232267,2026-08-10 15:11:18.739886,2026-08-10 15:15:50.810487,0 days 00:04:32.070601,64,0.17219692463115893,32,5.901595800362433e-05,0.8916545975694211,,512,0.0006488188873232645,COMPLETE
28,0.7194879567086001,2026-08-10 15:15:50.869853,2026-08-10 15:19:23.859655,0 days 00:03:32.989802,64,0.1735458468457662,32,5.7627846213417164e-05,0.6798508884316967,,512,0.0006311150873034915,COMPLETE
29,0.3311494750370007,2026-08-10 15:19:23.909335,2026-08-10 15:19:58.407485,0 days 00:00:34.498150,512,0.17314858596723892,32,7.570422243601642e-05,0.9185680440190956,,512,0.0006533650529142058,COMPLETE
30,0.3385711452839961,2026-08-10 15:19:58.458832,2026-08-10 15:20:40.351509,0 days 00:00:41.892677,256,0.1345608756182216,32,5.960246688705805e-05,0.6190743318496863,,512,0.0005359409320770421,COMPLETE
31,0.7360106990377211,2026-08-10 15:20:40.401247,2026-08-10 15:24:56.807879,0 days 00:04:16.406632,64,0.16209489786104533,32,8.080624191008879e-05,0.7187709106669679,,512,0.0006793961759358197,COMPLETE
32,0.7393771482162731,2026-08-10 15:24:56.856639,2026-08-10 15:29:13.763558,0 days 00:04:16.906919,64,0.16302127867277036,32,7.390602687476323e-05,0.7194457759752038,,512,0.0005914996612047461,COMPLETE
33,0.7313824998699711,2026-08-10 15:29:13.823379,2026-08-10 15:33:47.386409,0 days 00:04:33.563030,64,0.16409341874950398,32,6.559561650300403e-05,0.7175189020351775,,512,0.0005787617062207669,COMPLETE
