number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_wd,state
0,,2026-08-14 05:11:24.578450,2026-08-14 05:11:25.333686,0 days 00:00:00.755236,2,32,0.4020943139074269,32,0.0002300816936455372,0.35510672626697576,2,0.00018670896687545348,FAIL
1,0.7444327145628571,2026-08-14 05:11:43.634228,2026-08-14 05:18:09.508239,0 days 00:06:25.874011,2,64,0.32295552838880875,256,5.210301026731505e-05,0.42373908813390515,3,0.0002214805640065978,COMPLETE
2,0.7488673229368765,2026-08-14 05:18:09.570796,2026-08-14 05:19:44.956007,0 days 00:01:35.385211,1,64,0.12252559655830292,128,0.00022998918016495093,0.007421582058017517,1,0.00013327430426668938,COMPLETE
3,0.49364045650610255,2026-08-14 05:19:45.027121,2026-08-14 05:20:47.278109,0 days 00:01:02.250988,1,256,0.4619637224432741,32,0.00011485253540858336,0.2362663958818621,3,9.731137650031467e-05,COMPLETE
4,0.7299251446447435,2026-08-14 05:20:47.327974,2026-08-14 05:24:18.998923,0 days 00:03:31.670949,2,64,0.2863814524109026,128,7.61485143563709e-05,0.18511309067642645,3,0.00012273645487533564,COMPLETE
5,0.7336416366882351,2026-08-14 05:24:19.063553,2026-08-14 05:33:40.683454,0 days 00:09:21.619901,4,32,0.45720632253932925,128,5.324610878637028e-05,0.2113871589699527,2,6.549727079764435e-05,COMPLETE
6,0.7407908698659367,2026-08-14 05:33:40.743744,2026-08-14 05:35:57.118978,0 days 00:02:16.375234,1,128,0.3268390204771542,128,0.00017351454948926674,0.016231940057714722,2,0.00024199156862503076,COMPLETE
7,0.7459107967598142,2026-08-14 05:35:57.174530,2026-08-14 05:39:21.671990,0 days 00:03:24.497460,2,128,0.39759292861949946,256,0.00012945460062645757,0.25187801678517796,1,0.00031580716119571203,COMPLETE
8,0.7554723432763649,2026-08-14 05:39:21.756784,2026-08-14 05:43:16.950108,0 days 00:03:55.193324,1,128,0.012419474690393839,512,0.00021783005886947542,0.12784792026557013,3,7.987270316479375e-05,COMPLETE
9,0.7169626796718565,2026-08-14 05:43:17.035850,2026-08-14 05:47:50.761762,0 days 00:04:33.725912,4,64,0.2654501172321174,128,8.719889083557607e-05,0.30732751045083717,2,0.00015643468950899339,COMPLETE
10,0.5764225483575339,2026-08-14 05:47:50.808551,2026-08-14 05:49:49.401317,0 days 00:01:58.592766,4,128,0.14956119127333378,128,5.337018630627132e-05,0.32158296173114853,2,0.00016117426820162818,COMPLETE
11,0.752357738294468,2026-08-14 05:49:49.457583,2026-08-14 05:52:25.671092,0 days 00:02:36.213509,1,256,0.0027009510490701542,512,0.0002283585957758073,0.4893253314323279,3,5.740806168986016e-05,COMPLETE
12,0.7536359838562525,2026-08-14 05:52:25.719856,2026-08-14 05:54:57.535089,0 days 00:02:31.815233,1,256,0.016019927883526984,512,0.00024651138464320264,0.4497158533559659,3,5.028183621775312e-05,COMPLETE
13,0.7449174030400809,2026-08-14 05:54:57.581549,2026-08-14 05:57:49.038987,0 days 00:02:51.457438,1,256,0.010719764339778596,512,0.00017577845769388084,0.10560314056370596,3,7.773988708484054e-05,COMPLETE
14,0.7509407927997116,2026-08-14 05:57:49.084411,2026-08-14 06:02:32.724947,0 days 00:04:43.640536,1,32,0.0920783772352925,64,0.0002498234321247867,0.41914420843132305,3,5.257178732417181e-05,COMPLETE
15,0.746992351249364,2026-08-14 06:02:32.773304,2026-08-14 06:06:23.878714,0 days 00:03:51.105410,1,128,0.06268377191922486,512,0.0001843686093510319,0.09645438881435978,3,7.989151712921247e-05,COMPLETE
16,0.7486481318920517,2026-08-14 06:06:23.931941,2026-08-14 06:09:10.916297,0 days 00:02:46.984356,1,256,0.19260179525840415,512,0.00014859495680768426,0.36580817837264884,3,5.000042822491212e-05,COMPLETE
17,0.7548619386449509,2026-08-14 06:09:10.963915,2026-08-14 06:10:48.910357,0 days 00:01:37.946442,1,256,0.05184283418482051,512,0.00020400790220303125,0.12635680380940906,1,7.241651812955146e-05,COMPLETE
18,0.7331968210022155,2026-08-14 06:10:48.958434,2026-08-14 06:13:36.790613,0 days 00:02:47.832179,1,128,0.18525336143352794,32,0.0002012574163259912,0.13054503228614536,1,9.568962065323533e-05,COMPLETE
19,0.7571027386800996,2026-08-14 06:13:36.839755,2026-08-14 06:19:19.085057,0 days 00:05:42.245302,2,32,0.0715956331930292,64,0.00014577677968863082,0.15974144756360661,1,7.125279959991166e-05,COMPLETE
20,0.7427028056672448,2026-08-14 06:19:19.141758,2026-08-14 06:28:07.855550,0 days 00:08:48.713792,2,32,0.10380602607752808,64,0.00010644878524552227,0.07043970509786701,1,9.561901739497612e-05,COMPLETE
21,0.7455509044998614,2026-08-14 06:28:07.914742,2026-08-14 06:34:44.178592,0 days 00:06:36.263850,2,32,0.1744969070467769,64,0.00014795131266737835,0.17221514150011644,1,0.00011459141056555967,COMPLETE
22,0.7465666196685179,2026-08-14 06:34:44.234705,2026-08-14 06:40:14.224594,0 days 00:05:29.989889,2,32,0.05321035973787083,64,0.00015142635235704122,0.14965829793287375,1,6.937989096981653e-05,COMPLETE
23,0.7418699376795245,2026-08-14 06:40:14.277812,2026-08-14 06:42:11.933152,0 days 00:01:57.655340,2,256,0.051123871029108675,512,0.00020386444768127367,0.08348570943305153,1,7.745253042636112e-05,COMPLETE
24,0.7481855514376603,2026-08-14 06:42:11.994534,2026-08-14 06:48:06.861756,0 days 00:05:54.867222,4,32,0.07846833604505343,512,0.00019859569720757244,0.046109168447405605,1,6.199556916512775e-05,COMPLETE
25,0.7475534123961619,2026-08-14 06:48:06.908926,2026-08-14 06:50:23.648553,0 days 00:02:16.739627,1,128,0.12925251024169915,64,0.00016153846515334387,0.14024381372191785,1,8.587427605206182e-05,COMPLETE
26,0.750013525751748,2026-08-14 06:50:23.702179,2026-08-14 06:55:31.737697,0 days 00:05:08.035518,2,32,0.039758333064362716,512,0.0001274840804343014,0.2735130140542659,1,6.830982300879425e-05,COMPLETE
27,0.7230304219317621,2026-08-14 06:55:31.795602,2026-08-14 06:57:12.278481,0 days 00:01:40.482879,1,256,0.20903276670800328,32,0.0002142015164389047,0.19613359819491705,1,0.00010513821274362268,COMPLETE
28,0.7561616177310175,2026-08-14 06:57:12.328680,2026-08-14 06:59:37.202910,0 days 00:02:24.874230,1,128,0.09223316604824684,256,9.05806796655941e-05,0.0482019900758993,1,8.730409359496202e-05,COMPLETE
29,0.6878427559437945,2026-08-14 06:59:37.344145,2026-08-14 07:04:19.657677,0 days 00:04:42.313532,4,128,0.14708448023698462,256,6.739118847511013e-05,0.04495241967076524,2,8.461122531192569e-05,COMPLETE
30,0.7351706354057717,2026-08-14 07:04:19.709010,2026-08-14 07:07:14.084376,0 days 00:02:54.375366,2,128,0.09341549269987542,256,9.508390305158171e-05,0.04220797446971944,1,0.0001420291063774289,COMPLETE
31,0.7346404858690257,2026-08-14 07:07:14.129669,2026-08-14 07:13:00.682114,0 days 00:05:46.552445,2,128,0.21401872440588465,256,7.044202164596462e-05,0.1652774925801579,3,5.918145431301949e-05,COMPLETE
32,0.7485267443988894,2026-08-14 07:13:00.761190,2026-08-14 07:15:19.508332,0 days 00:02:18.747142,1,128,0.0377948859686886,256,0.00012869766773418434,0.11642872625217524,1,7.29517331055472e-05,COMPLETE
