number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_c_mult,params_out_ch,params_wd,state
0,,2026-08-12 06:11:12.884186,2026-08-12 06:11:18.854315,0 days 00:00:05.970129,512,0.14364644264365733,0.0011903388009779892,0.15162590211995775,3,64,5.5091750964294443e-05,FAIL
1,0.33394593923640387,2026-08-12 06:14:31.144031,2026-08-12 06:14:57.880165,0 days 00:00:26.736134,512,0.49587446923258705,0.000260666924465646,0.18118944141562887,3,512,0.002344896786746871,COMPLETE
2,0.3683180774977854,2026-08-12 06:14:58.007883,2026-08-12 06:16:33.345495,0 days 00:01:35.337612,128,0.22725974505131752,5.2530163644171666e-05,0.5393121310202638,1,256,0.0025555107080434364,COMPLETE
3,0.334123373474536,2026-08-12 06:16:33.399584,2026-08-12 06:16:56.778367,0 days 00:00:23.378783,512,0.07137443265334098,7.502305037333298e-05,0.7358366164707568,2,512,6.547789497528272e-05,COMPLETE
4,0.29002235993382663,2026-08-12 06:16:56.838331,2026-08-12 06:17:19.177353,0 days 00:00:22.339022,256,0.768854933831119,9.12687680852616e-05,0.7346692306704609,1,512,1.371597825630454e-05,COMPLETE
5,,2026-08-12 06:17:19.232191,2026-08-12 06:17:30.329500,0 days 00:00:11.097309,256,0.9039394957462881,0.00016163651509186849,0.09463891446578365,1,32,1.2754932267631167e-05,FAIL
6,0.3748115676636293,2026-08-12 06:17:41.447592,2026-08-12 06:18:23.503126,0 days 00:00:42.055534,128,0.30507722201998416,0.0007763159112290392,0.1322521336623273,1,256,3.3526841809411956e-05,COMPLETE
7,0.4182776458957151,2026-08-12 06:18:23.570248,2026-08-12 06:19:41.712928,0 days 00:01:18.142680,64,0.011288669964883369,0.0001904355801717969,0.2672542144968055,3,256,3.318275489285035e-05,COMPLETE
8,0.42173025950060317,2026-08-12 06:19:41.770954,2026-08-12 06:20:39.631837,0 days 00:00:57.860883,64,0.29552589582542577,0.0007582645692331876,0.11323300633962352,3,32,0.00020690811290477316,COMPLETE
9,0.3635667664983588,2026-08-12 06:20:39.686102,2026-08-12 06:21:21.072819,0 days 00:00:41.386717,128,0.48419129670048017,0.00023438471408796584,0.3432711273698486,1,512,2.4987097925940167e-05,COMPLETE
10,0.31387825107706296,2026-08-12 06:21:21.121841,2026-08-12 06:21:37.487445,0 days 00:00:16.365604,512,0.07536929085104682,7.850215602503802e-05,0.22832891139027356,1,256,0.0027216311278875725,COMPLETE
11,,2026-08-12 06:21:37.554533,2026-08-12 06:21:43.031322,0 days 00:00:05.476789,256,0.297412248040644,0.00022999497376058767,0.12806268195036064,2,64,6.003046022546545e-05,FAIL
12,0.40563708238879265,2026-08-12 06:21:50.428164,2026-08-12 06:22:11.898605,0 days 00:00:21.470441,512,0.44524732440170894,0.00017096862712226145,0.05696187565473376,3,64,7.498150495543408e-05,COMPLETE
13,0.41830820386276313,2026-08-12 06:22:11.946411,2026-08-12 06:23:14.025910,0 days 00:01:02.079499,64,0.22665374119099674,0.0007855031734671456,0.06011724491110523,2,32,0.0005047046444756857,COMPLETE
