number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_ch,params_wd,state
0,,2026-07-21 08:38:37.592378,2026-07-21 08:38:37.739673,0 days 00:00:00.147295,64,0.6106820829405813,0.0013448050703580021,0.3646561023388293,128,0.003256857421196791,FAIL
1,,2026-07-21 08:40:22.420665,2026-07-21 08:40:22.729845,0 days 00:00:00.309180,64,0.9901094875617986,0.001078219366234693,0.6378392910955294,64,0.0007780404098983351,FAIL
2,,2026-07-21 08:44:13.031999,2026-07-21 08:44:13.310952,0 days 00:00:00.278953,128,0.02696069912441279,0.0009103784477331018,0.9921218381331482,32,0.0014065784327103419,FAIL
3,0.4163079564580726,2026-07-21 08:51:06.790237,2026-07-21 08:51:40.929380,0 days 00:00:34.139143,64,0.7104128846497955,0.0008575616750815778,0.6074165210900007,256,0.0007458305415401447,COMPLETE
4,0.38375269344964574,2026-07-21 08:51:40.991011,2026-07-21 08:51:55.630355,0 days 00:00:14.639344,128,0.9191383962774557,0.0017256073416307902,0.5508571713011896,256,0.0007405289659689093,COMPLETE
5,,2026-07-21 08:51:55.685401,2026-07-21 08:52:03.467217,0 days 00:00:07.781816,256,0.34021219643091516,0.0015578614513167258,0.6240670420701849,128,0.0010715849882484052,FAIL
6,0.32865390863783456,2026-07-21 08:52:42.050724,2026-07-21 08:52:51.049740,0 days 00:00:08.999016,256,0.4189694879410949,0.0018477868547056582,0.13015679497751664,256,0.002350515905894393,COMPLETE
7,0.40617044428739896,2026-07-21 08:52:51.132168,2026-07-21 08:53:20.238007,0 days 00:00:29.105839,64,0.3692026413722004,0.0019420494649510438,0.48545870398818713,256,0.0018848062967753143,COMPLETE
8,0.3264457651055737,2026-07-21 08:53:20.299144,2026-07-21 08:53:29.601037,0 days 00:00:09.301893,256,0.10018590739818489,0.001555560809443468,0.3356878796994047,64,0.0008237509114697048,COMPLETE
9,0.3868499479310534,2026-07-21 08:53:29.665021,2026-07-21 08:54:03.193188,0 days 00:00:33.528167,64,0.2623847442542925,0.0013008981985383476,0.980265292220707,32,0.002208305227976811,COMPLETE
